DESCRIPTION,Candida_tanzawaensis,Debaryomyces_hansenii,Hyphopichia_burtonii,Komagataella_pastoris,Eremothecium_gossypii,Kluyveromyces_lactis,Torulaspora_delbrueckii,Zygosaccharomyces_rouxii,Arxula_adeninivorans,Yarrowia_lipolytica
fam226,6,4,6,1,1,1,1,0,3,1
fam227,1,2,1,1,1,2,1,2,1,1
fam228,2,2,1,2,2,2,2,2,1,1
fam229,2,2,2,1,2,2,2,2,1,1
fam230,2,2,2,2,2,2,1,2,2,2
fam231,1,4,1,1,1,2,2,2,3,5
fam232,2,2,2,2,2,2,2,2,1,1
fam233,4,3,3,0,1,1,0,0,2,1
fam234,2,2,2,2,2,2,2,2,1,2
fam235,2,2,2,2,2,2,2,2,2,2
fam236,3,5,2,3,0,2,1,0,1,1
fam237,2,2,2,2,2,2,2,2,1,1
fam238,2,2,2,2,2,2,2,2,1,1
fam239,2,2,2,2,1,1,1,1,2,3
fam240,2,2,2,2,2,2,2,2,1,1
fam241,3,5,4,1,1,1,1,2,2,1
fam242,2,2,2,2,2,2,2,2,2,2
fam244,1,1,1,2,1,1,1,1,2,4
fam245,1,1,1,2,2,2,2,2,0,1
fam246,2,2,2,2,2,2,2,2,2,2
fam247,2,2,2,2,2,2,2,2,1,1
fam248,2,2,2,2,2,2,2,2,1,1
fam249,2,3,2,1,1,2,2,2,3,1
fam250,4,3,2,1,0,1,1,1,1,1
fam251,2,2,2,1,1,1,1,1,2,2
fam252,1,2,2,2,1,1,1,1,2,2
fam253,2,2,2,2,2,2,2,2,1,1
fam254,2,2,2,2,2,2,2,1,1,1
fam255,2,2,2,1,2,3,3,3,1,1
fam256,2,2,2,2,2,2,2,2,1,1
fam257,2,2,2,2,1,2,2,2,2,2
fam258,2,2,2,2,1,1,2,2,2,2
fam259,2,2,2,2,2,1,2,2,1,1
fam260,2,2,2,1,1,2,2,2,1,1
fam261,2,3,3,2,1,1,1,1,2,2
fam262,2,2,2,2,2,2,2,2,1,1
fam263,2,2,2,1,2,2,1,1,2,2
fam264,1,1,1,1,1,1,1,1,1,1
fam265,2,2,2,2,2,2,2,2,1,1
fam266,2,2,2,1,2,1,2,2,2,2
fam267,2,1,2,2,1,1,1,1,3,1
fam268,2,2,2,2,2,2,2,2,1,1
fam269,2,1,2,2,1,2,1,1,1,1
fam270,1,1,1,1,2,2,2,2,2,2
fam271,2,2,2,2,2,2,2,2,1,1
fam272,3,3,2,0,2,1,1,1,2,7
fam273,2,2,2,1,2,2,2,2,1,0
fam274,2,2,2,2,1,1,1,1,2,2
fam275,5,1,1,4,1,1,2,1,1,1
fam276,1,1,2,1,1,3,1,1,1,1
fam277,2,2,2,2,1,2,1,1,1,1
fam278,3,3,3,2,0,0,0,0,2,2
fam279,2,2,2,1,2,2,2,2,1,1
fam280,2,2,2,2,1,1,1,1,2,1
fam281,2,2,2,1,1,1,2,2,3,1
fam282,1,1,1,1,1,1,1,1,1,4
fam283,2,2,2,2,1,2,2,2,1,2
fam284,2,2,2,2,2,2,2,2,1,1
fam285,2,2,2,2,2,2,2,2,1,1
