DESCRIPTION,Candida_tanzawaensis,Debaryomyces_hansenii,Hyphopichia_burtonii,Komagataella_pastoris,Eremothecium_gossypii,Kluyveromyces_lactis,Torulaspora_delbrueckii,Zygosaccharomyces_rouxii,Arxula_adeninivorans,Yarrowia_lipolytica
fam6746,0,0,0,0,0,0,0,0,1,1
fam6747,0,0,0,0,0,0,1,0,0,0
fam6749,0,0,0,1,0,0,0,0,0,0
fam6750,0,1,0,0,0,0,0,0,0,0
fam6751,0,0,0,1,0,0,0,0,0,0
fam6752,0,1,0,0,0,0,0,0,0,0
fam6753,1,1,1,0,0,0,0,0,0,0
fam6754,1,1,1,0,0,0,0,0,0,0
fam6755,0,0,0,1,0,0,0,0,0,0
fam6756,0,0,0,1,0,0,0,0,0,0
fam6757,0,0,0,0,0,0,1,0,0,0
fam6758,0,0,0,0,1,1,1,1,0,0
fam6759,0,0,0,0,4,1,1,0,0,0
fam6760,0,0,0,1,0,0,0,0,0,0
fam6761,1,1,1,0,0,0,0,0,0,0
fam6763,0,0,0,0,1,1,1,1,0,0
fam6764,0,0,0,0,0,0,0,0,0,0
fam6765,0,0,0,0,0,0,0,0,0,0
fam6766,0,0,0,0,0,0,0,0,0,0
fam6767,0,0,0,0,1,0,0,0,0,0
fam6768,0,0,0,0,0,1,0,0,0,0
fam6769,0,0,0,0,0,1,0,0,0,0
fam6770,1,0,1,0,0,0,0,0,0,0
fam6771,0,0,0,0,0,0,0,0,0,0
fam6772,0,0,0,0,0,0,1,0,0,0
fam6773,0,0,0,0,0,0,0,0,0,0
fam6774,0,0,0,0,1,0,0,0,0,0
fam6775,0,0,0,0,0,0,1,0,0,0
fam6776,0,0,0,0,0,0,0,0,0,1
fam6777,0,0,0,1,0,0,0,0,0,0
fam6778,0,0,0,1,0,0,0,0,0,0
fam6779,1,1,1,0,0,0,0,0,0,0
fam6781,1,1,0,0,0,0,0,0,0,0
fam6783,1,1,1,0,0,0,0,0,0,0
fam6784,0,0,1,0,0,0,0,0,0,0
fam6786,0,0,0,1,0,0,0,0,0,0
fam6787,0,0,0,0,0,1,0,0,0,0
fam6789,0,0,0,1,0,0,0,0,0,0
fam6790,0,0,0,1,0,0,0,0,0,0
fam6793,1,1,1,0,0,0,0,0,0,0
fam6794,1,1,1,0,0,0,0,0,0,0
fam6795,1,1,1,0,0,0,0,0,0,0
fam6796,1,1,0,0,0,0,0,0,0,0
fam6797,1,1,1,0,0,0,0,0,0,0
fam6798,1,1,1,0,0,0,0,0,0,0
fam6799,1,0,1,0,0,0,0,0,0,0
fam6800,1,1,1,0,0,0,0,0,0,0
fam6801,1,1,1,0,0,0,0,0,0,0
fam6802,1,1,1,0,0,0,0,0,0,0
fam6803,1,1,1,0,0,0,0,0,0,0
fam6804,1,1,1,0,0,0,0,0,0,0
fam6805,1,1,0,0,0,0,0,0,0,0
fam6806,1,1,1,0,0,0,0,0,0,0
fam6807,1,1,1,0,0,0,0,0,0,0
fam6808,1,1,1,0,0,0,0,0,0,0
fam6809,1,1,1,0,0,0,0,0,0,0
fam6810,1,1,1,0,0,0,0,0,0,0
fam6811,1,1,1,0,0,0,0,0,0,0
fam6812,1,1,1,0,0,0,0,0,0,0
fam6813,1,1,1,0,0,0,0,0,0,0
fam6814,1,0,1,0,0,0,0,0,0,0
fam6815,1,1,1,0,0,0,0,0,0,0
fam6816,0,0,0,0,0,3,0,0,0,0
fam6817,1,1,1,0,0,0,0,0,0,0
fam6819,0,0,0,1,0,0,0,0,0,0
fam6820,0,0,0,1,0,0,0,0,0,0
fam6821,0,0,0,1,0,0,0,0,0,0
fam6822,0,0,0,1,0,0,0,0,0,0
fam6823,0,0,0,1,0,0,0,0,0,0
fam6824,0,0,0,1,0,0,0,0,0,0
fam6825,0,0,0,1,0,0,0,0,0,0
fam6826,0,0,0,1,0,0,0,0,0,0
fam6827,0,0,0,1,0,0,0,0,0,1
fam6829,0,0,0,0,0,0,0,0,0,1
fam6831,1,1,1,0,0,0,0,0,0,0
fam6832,1,1,1,0,0,0,0,0,0,0
fam6833,1,1,1,0,0,0,0,0,0,0
fam6834,0,0,0,0,0,0,0,0,0,0
fam6835,0,0,0,0,0,0,0,0,0,0
fam6838,0,1,0,0,0,0,0,0,0,0
fam6840,0,0,0,0,0,0,0,0,0,0
fam6844,0,0,0,0,0,0,0,0,0,8
fam6845,0,0,0,0,0,0,0,0,0,0
fam6846,0,0,0,0,0,0,1,0,0,0
fam6847,0,0,0,0,0,0,0,0,0,0
fam6848,0,0,0,0,0,2,1,2,0,0
fam6849,0,0,0,0,0,0,0,0,0,0
fam6850,0,0,0,0,0,0,0,0,0,0
fam6851,0,0,0,0,0,0,0,0,0,0
fam6852,0,0,0,0,0,0,0,0,0,0
fam6853,0,0,0,0,0,0,0,0,0,0
fam6854,0,0,0,0,0,0,0,0,0,0
fam6855,0,0,0,0,0,0,1,0,0,0
fam6856,0,0,0,0,0,0,1,0,0,0
fam6858,0,0,0,0,0,1,0,0,0,0
fam6859,0,0,0,0,0,1,0,0,0,0
fam6860,0,0,0,0,0,1,1,0,0,0
fam6866,0,0,0,0,0,0,0,0,0,0
fam6867,0,0,0,0,0,0,0,0,0,0
fam6868,0,0,0,0,0,0,0,0,0,0
fam6869,0,0,0,0,0,0,0,0,0,0
fam6870,0,0,0,0,0,0,0,0,0,0
fam6871,0,0,0,0,0,0,0,0,0,0
fam6872,0,0,0,0,0,0,0,0,0,0
fam6873,0,0,0,0,0,0,0,0,0,0
fam6874,0,0,0,0,0,0,0,0,0,0
fam6875,0,0,0,0,0,0,1,0,0,0
fam6884,0,0,0,0,0,0,0,0,0,8
fam6885,0,0,0,0,0,0,0,0,0,8
fam6886,0,0,0,0,0,0,0,0,0,8
fam6888,0,0,0,0,0,0,0,0,0,0
fam6890,0,0,0,0,0,0,0,0,2,0
fam6891,0,0,0,0,0,0,0,0,1,0
fam6893,0,0,0,0,0,0,0,0,1,1
fam6894,0,0,0,0,0,0,0,0,1,0
fam6895,0,0,0,0,0,0,0,0,3,0
fam6896,0,0,0,0,0,0,0,0,2,0
fam6897,0,0,0,0,0,0,0,0,1,0
fam6898,0,0,0,0,0,0,0,0,1,1
fam6899,0,0,0,1,0,0,0,0,0,0
fam6900,0,0,0,0,0,0,0,0,1,1
fam6901,0,0,0,0,0,0,0,0,1,0
fam6902,0,0,0,0,0,0,0,0,1,0
fam6903,0,0,0,0,0,0,0,0,1,0
fam6904,0,0,0,0,0,0,0,0,1,1
fam6905,0,0,0,0,0,0,0,0,1,1
fam6906,0,0,0,0,0,0,0,0,1,1
fam6907,0,0,0,0,0,0,0,0,1,1
fam6908,0,0,0,0,0,0,0,0,1,0
fam6909,0,0,0,0,0,0,0,0,1,1
fam6910,0,0,0,0,0,0,0,0,1,0
fam6911,0,0,0,0,0,0,0,0,1,0
fam6912,0,0,0,0,0,0,0,0,1,1
fam6913,0,0,1,0,0,0,0,0,1,0
fam6914,0,0,0,0,0,0,0,0,1,1
fam6915,0,0,0,1,0,0,0,0,0,0
fam6917,0,0,0,1,0,0,0,0,0,0
fam6919,0,0,0,1,0,0,0,0,0,0
fam6920,0,1,0,0,0,0,0,0,0,0
fam6921,0,0,0,1,0,0,0,0,0,0
fam6923,1,0,1,0,0,0,0,0,0,0
fam6925,0,0,0,1,0,0,0,0,0,0
fam6926,0,0,0,0,0,1,0,0,0,0
fam6927,0,0,0,1,0,0,0,0,0,0
fam6928,0,0,1,0,0,0,0,0,0,0
fam6930,0,0,0,1,0,0,0,0,0,0
fam6931,0,0,0,1,0,0,0,0,0,0
fam6932,0,0,0,1,0,0,0,0,0,0
fam6933,0,0,0,1,0,0,0,0,0,0
fam6934,0,0,0,1,0,0,0,0,0,0
fam6935,0,0,0,1,0,0,0,0,0,0
fam6938,0,0,0,1,0,0,0,0,0,0
fam6939,0,0,0,1,0,0,0,0,0,0
fam6940,0,0,0,1,0,0,0,0,0,0
fam6942,0,0,0,1,0,0,0,0,0,0
fam6943,0,0,0,1,0,0,0,0,0,0
fam6944,0,0,0,1,0,0,0,0,0,0
fam6946,0,0,0,1,0,0,0,0,0,0
fam6954,0,0,0,1,0,0,0,0,0,0
fam6955,0,0,0,1,0,0,0,0,0,0
fam6956,0,0,0,0,0,0,0,0,0,1
fam6959,1,1,1,0,0,0,0,0,0,0
fam6960,0,0,1,0,0,0,0,0,0,0
fam6961,0,2,0,0,0,0,0,0,0,0
fam6962,0,0,1,0,0,0,0,0,0,0
fam6963,0,0,0,0,0,0,0,0,1,0
fam6968,0,0,0,0,0,0,0,0,1,1
fam6969,0,0,0,1,0,0,0,0,0,0
fam6971,0,0,0,1,0,0,0,0,0,0
fam6972,0,0,0,1,0,0,0,0,0,0
fam6975,0,0,0,1,0,0,0,0,0,0
fam6976,0,0,0,1,0,0,0,0,0,0
fam6977,1,1,1,0,0,0,0,0,0,0
fam6978,1,0,1,0,0,0,0,0,0,0
fam6979,0,0,0,0,0,0,0,0,1,0
fam6980,0,0,0,0,0,0,0,0,1,1
fam6981,0,0,0,0,0,0,0,0,1,1
fam6982,0,0,0,0,0,0,0,0,1,0
fam6983,0,0,0,0,0,0,0,0,1,0
fam6984,0,0,0,0,0,0,0,0,1,1
fam6985,0,0,0,1,0,0,0,0,0,0
fam6986,0,0,0,0,0,0,0,0,1,1
fam6987,0,0,0,0,0,0,0,0,1,0
fam6989,0,0,0,1,0,0,0,0,0,0
fam6991,0,0,0,1,0,0,0,0,0,0
fam6992,0,0,0,0,0,0,0,0,0,0
fam6993,0,0,0,0,0,0,0,0,0,0
fam6994,0,0,0,0,0,0,0,0,0,0
fam6995,0,0,0,0,0,0,0,0,0,0
fam6996,0,0,0,0,0,0,0,0,0,0
fam6997,0,0,0,0,0,0,0,0,0,0
fam6998,0,0,0,0,0,0,0,0,0,0
fam6999,0,0,0,0,0,0,0,0,0,0
fam7000,0,0,0,0,0,0,0,0,0,0
fam7001,0,0,0,0,0,0,0,0,0,0
fam7002,0,0,0,0,0,0,0,0,0,0
fam7003,0,0,0,0,0,0,0,0,0,0
fam7004,0,0,0,0,0,0,0,0,0,0
fam7005,0,0,0,0,0,0,0,0,0,0
fam7006,0,0,0,0,0,0,0,0,0,0
fam7007,0,0,0,0,0,0,0,0,0,0
fam7008,0,0,0,0,0,0,0,0,0,0
fam7009,0,0,0,0,0,0,0,0,0,0
fam7010,0,0,0,0,0,0,0,0,0,0
fam7011,0,0,0,0,0,0,0,0,0,0
fam7012,0,0,0,0,0,0,0,0,0,0
fam7013,0,0,0,0,0,0,0,0,0,0
fam7014,0,0,0,0,0,0,0,0,0,0
fam7015,0,0,0,0,0,0,0,0,0,0
fam7016,0,0,0,0,0,0,0,0,0,0
fam7017,0,0,0,0,0,0,0,0,0,0
fam7018,0,0,0,0,0,0,0,0,0,0
fam7019,0,0,0,0,0,0,0,0,0,0
fam7020,0,0,0,0,0,0,0,0,0,0
fam7021,0,0,0,0,0,0,0,0,0,0
fam7022,0,0,0,0,0,0,0,0,0,0
fam7023,0,0,0,0,0,0,0,0,0,0
fam7024,0,0,0,0,0,0,0,0,0,0
fam7025,0,0,0,0,0,0,0,0,0,0
fam7026,0,0,0,0,0,0,0,0,0,0
fam7027,0,0,0,0,0,0,0,0,0,0
fam7028,0,0,0,0,0,0,0,0,0,0
fam7029,0,0,0,0,0,0,0,0,0,0
fam7030,0,0,0,0,0,0,0,0,0,0
fam7031,0,0,0,0,0,0,0,0,0,0
fam7032,0,0,0,0,0,0,0,0,0,0
fam7033,0,0,0,0,0,0,0,0,0,0
fam7034,0,0,0,0,0,0,0,0,0,0
fam7035,0,0,0,0,0,0,0,0,0,0
fam7036,0,0,0,0,0,0,0,0,0,0
fam7037,0,0,0,0,0,0,0,0,0,0
fam7038,0,0,0,0,0,0,0,0,0,0
fam7039,0,0,0,0,0,0,0,0,0,0
fam7040,0,0,0,0,0,0,0,0,0,0
fam7041,0,0,0,0,0,0,0,0,0,0
fam7044,0,0,0,0,0,0,0,0,1,1
fam7045,0,0,0,0,0,0,0,0,1,0
fam7046,0,0,0,0,0,0,0,0,1,0
fam7047,0,0,0,0,0,0,0,0,1,1
fam7048,0,0,0,0,0,0,0,0,1,0
fam7049,0,0,0,0,0,0,0,0,1,0
fam7050,0,0,0,0,0,0,0,0,1,1
fam7051,0,0,0,0,0,0,0,0,3,0
fam7052,0,0,0,0,0,0,0,0,1,1
fam7053,0,0,0,0,0,0,0,0,1,1
fam7054,0,0,0,0,0,0,0,0,1,1
fam7055,0,0,0,0,1,1,1,1,0,0
fam7056,0,0,0,0,0,0,0,0,1,1
fam7057,0,0,0,0,0,0,0,0,1,0
fam7058,0,0,0,0,0,0,0,0,1,0
fam7059,0,0,0,0,0,0,0,0,1,1
fam7060,0,1,0,0,0,0,0,0,0,0
fam7061,0,0,0,1,0,0,0,0,0,0
fam7062,0,0,0,1,0,0,0,0,0,0
fam7063,0,0,0,1,0,0,0,0,0,0
fam7065,0,0,0,0,0,0,0,0,1,1
fam7066,0,0,0,0,0,0,0,0,1,0
fam7067,0,0,0,0,0,0,0,0,1,0
fam7068,0,0,0,0,0,0,0,0,1,0
fam7069,0,0,0,0,0,0,0,0,1,1
fam7070,1,1,1,0,0,0,0,0,0,0
fam7071,0,0,0,1,0,0,0,0,1,0
fam7072,0,0,0,0,0,0,0,0,1,0
fam7073,0,0,0,0,0,0,0,0,1,0
fam7074,0,0,0,0,0,0,0,0,1,0
fam7075,0,0,0,0,0,0,0,0,1,0
fam7076,0,0,0,0,0,0,0,0,1,0
fam7078,0,0,0,0,0,0,0,0,1,1
fam7079,0,0,0,0,0,0,0,0,1,0
fam7080,0,0,0,0,0,0,0,0,1,0
fam7081,0,1,0,0,0,0,0,0,0,0
fam7082,0,0,0,0,0,0,0,0,0,1
fam7083,0,3,0,0,0,0,0,0,0,0
fam7084,0,0,0,1,0,0,0,0,0,0
fam7085,0,0,0,1,0,0,0,0,0,0
fam7086,0,0,0,1,0,0,0,0,0,0
fam7087,0,0,0,1,0,0,0,0,0,0
fam7088,0,0,0,0,0,0,0,0,1,0
fam7089,0,0,0,0,0,0,0,0,1,0
fam7090,0,0,0,0,0,0,0,0,1,1
fam7091,0,0,0,0,0,0,0,0,1,0
fam7092,0,0,0,0,0,0,0,0,1,1
fam7094,0,0,0,0,0,0,0,0,1,0
fam7095,0,0,0,0,0,0,0,0,1,1
fam7096,0,0,0,0,0,0,0,0,1,1
fam7097,0,0,0,0,0,0,0,0,1,0
fam7098,0,0,0,0,0,0,0,0,1,1
fam7099,0,0,0,0,0,0,0,0,1,1
fam7100,0,0,0,0,0,0,0,0,1,0
fam7101,0,0,0,0,0,0,0,0,1,1
fam7103,0,0,0,0,0,0,0,0,1,1
fam7105,0,0,0,0,0,0,0,0,1,1
fam7106,0,0,0,0,0,0,0,0,1,1
fam7107,0,0,0,0,0,0,0,0,1,0
fam7108,0,0,0,0,0,0,0,0,1,1
fam7109,0,0,0,0,0,0,0,0,1,1
fam7110,0,0,0,0,0,0,0,0,1,1
fam7111,0,0,0,0,0,0,0,0,1,1
fam7112,0,0,0,0,0,0,0,0,1,0
fam7113,0,0,0,0,0,0,0,0,1,0
fam7114,0,0,0,0,0,0,0,0,1,1
fam7115,0,0,0,0,0,0,0,0,1,1
fam7116,0,0,0,1,0,0,0,0,0,0
fam7117,0,0,0,0,0,0,0,0,0,0
fam7118,0,0,0,0,0,0,0,0,0,0
fam7119,0,0,0,0,0,0,0,0,0,0
fam7120,0,0,0,0,0,0,0,0,0,0
fam7121,0,0,0,0,0,0,0,0,0,0
fam7122,0,0,0,0,0,0,0,0,0,0
fam7123,0,0,0,0,0,0,0,0,0,0
fam7124,0,0,0,0,0,0,0,0,0,0
fam7125,0,0,0,0,0,0,0,0,1,1
fam7126,0,0,0,0,0,0,0,0,1,1
fam7127,0,0,0,0,0,0,0,0,1,0
fam7128,0,0,0,0,0,0,0,0,1,0
fam7129,0,0,0,0,0,0,0,0,1,1
fam7130,0,0,0,0,0,0,0,0,1,1
fam7131,0,0,0,0,0,0,0,0,1,1
fam7132,0,0,0,0,0,0,0,0,1,0
fam7133,0,0,0,0,0,0,0,0,1,1
fam7134,0,0,0,0,0,0,0,0,1,1
fam7135,0,0,0,0,0,0,0,0,1,0
fam7136,0,0,0,0,0,0,0,0,0,1
fam7137,0,0,0,0,0,0,0,0,1,1
fam7138,0,0,0,0,0,0,0,0,1,1
fam7139,0,0,0,0,0,0,0,0,1,1
fam7142,0,0,0,1,0,0,0,0,0,0
fam7144,0,0,1,0,0,0,0,0,0,0
fam7145,1,1,1,0,0,0,0,0,0,0
fam7146,0,1,1,0,0,0,0,0,0,0
fam7147,0,0,0,1,0,0,0,0,0,0
fam7148,0,0,0,1,0,0,0,0,0,0
fam7150,0,0,0,0,0,0,0,0,0,1
fam7151,0,1,0,0,0,0,0,0,0,0
fam7154,0,1,1,0,0,0,0,0,0,0
fam7155,0,0,0,1,0,0,0,0,0,0
fam7156,0,1,0,0,0,1,0,0,0,0
fam7157,1,0,0,0,0,0,0,0,0,0
fam7159,0,0,0,0,0,0,0,0,0,0
fam7160,0,0,0,0,0,0,0,0,0,0
fam7161,0,0,0,0,0,0,0,0,0,0
fam7162,0,0,0,0,0,0,0,0,0,0
fam7163,0,0,0,0,0,0,0,0,0,0
fam7164,0,0,0,0,0,0,0,0,0,0
fam7165,0,0,0,0,1,1,1,1,0,0
fam7167,1,1,1,0,0,0,0,0,0,0
fam7169,0,0,1,0,0,0,0,0,0,0
fam7170,0,0,0,1,0,0,0,0,0,0
fam7171,0,0,0,1,1,0,0,0,0,0
fam7172,0,0,0,0,0,0,0,0,0,0
fam7173,0,0,0,0,0,0,0,0,0,0
fam7174,0,0,0,0,0,0,0,0,0,0
fam7175,0,0,0,0,0,0,0,0,0,0
fam7176,0,0,0,0,0,0,0,0,0,0
fam7177,0,0,0,0,0,0,0,0,0,0
fam7178,0,0,0,0,0,0,0,0,0,0
fam7179,0,0,0,0,0,0,0,0,0,0
fam7180,0,0,0,0,0,0,0,0,0,0
fam7181,0,0,0,0,0,0,0,0,0,0
fam7182,0,0,0,0,0,0,0,0,0,0
fam7183,0,0,0,0,0,0,0,0,0,0
fam7184,0,0,0,0,0,0,0,0,0,0
fam7185,0,0,0,0,0,0,0,0,0,0
fam7186,0,0,0,0,0,0,0,0,0,0
fam7187,0,0,0,0,0,0,0,0,0,0
fam7188,0,0,0,0,0,0,0,0,0,0
fam7189,0,0,0,0,0,0,0,0,0,0
fam7190,0,0,0,0,0,0,0,0,0,0
fam7191,0,0,0,0,0,0,0,0,0,0
fam7192,0,0,0,0,0,0,1,0,0,0
fam7193,1,0,0,0,0,0,0,0,0,0
fam7194,0,0,0,1,0,0,0,0,0,0
fam7195,0,0,0,1,0,0,0,0,0,0
fam7196,0,0,0,1,0,0,0,0,0,0
fam7197,0,0,0,1,0,0,0,0,0,0
fam7199,0,0,0,1,0,0,0,0,0,0
fam7200,0,1,0,0,0,0,0,0,0,0
fam7201,1,1,1,0,0,0,0,0,0,0
fam7202,1,1,1,0,0,0,0,0,0,0
fam7203,0,1,1,0,0,0,0,0,0,0
fam7204,0,0,0,1,0,0,0,0,0,0
fam7205,0,0,0,1,0,0,0,0,0,0
fam7207,0,0,0,1,0,0,0,0,0,0
fam7208,0,1,0,0,0,0,0,0,0,0
fam7210,0,0,1,0,0,0,0,0,0,0
fam7211,1,1,0,0,0,0,0,0,0,0
fam7212,1,1,0,0,0,0,0,0,0,0
fam7213,1,1,1,0,0,0,0,0,0,0
fam7214,1,1,1,0,0,0,0,0,0,0
fam7215,1,0,1,0,0,0,0,0,0,0
fam7216,1,1,1,0,0,0,0,0,0,0
fam7217,1,1,1,1,0,0,0,0,0,0
fam7218,1,1,1,0,0,0,0,0,0,0
fam7219,1,1,1,0,0,0,0,0,0,0
fam7220,1,1,1,0,0,0,0,0,0,0
fam7221,1,1,0,0,0,0,0,0,0,0
fam7222,1,1,1,0,0,0,0,0,0,0
fam7224,0,1,1,0,0,0,0,0,0,0
fam7225,1,0,1,0,0,0,0,0,0,0
fam7226,0,0,0,0,0,1,1,0,0,0
fam7229,0,0,0,1,0,0,0,0,0,0
fam7230,0,0,0,1,0,0,0,0,0,0
fam7231,0,0,0,1,0,0,0,0,0,0
fam7232,0,0,0,1,0,0,0,0,0,0
fam7233,0,0,0,1,0,0,0,0,0,0
fam7234,0,0,0,1,0,0,0,0,0,0
fam7235,0,0,0,1,0,0,0,0,0,0
fam7236,0,0,0,1,0,0,0,0,0,0
fam7238,0,0,0,1,0,0,0,0,0,0
fam7239,0,0,0,1,0,0,0,0,0,0
fam7240,0,0,0,0,0,0,0,0,0,0
fam7242,6,0,0,0,0,0,0,0,0,0
fam7243,1,1,1,0,0,0,0,0,0,0
fam7244,1,1,1,0,0,0,0,0,0,0
fam7245,1,1,1,0,0,0,0,0,0,0
fam7246,1,1,1,0,0,0,0,0,0,0
fam7247,1,1,1,0,0,0,0,0,0,0
fam7248,2,0,1,0,0,0,0,0,0,0
fam7249,1,0,1,0,0,0,0,0,0,0
fam7250,0,1,0,0,0,0,0,0,0,0
fam7253,0,1,0,1,0,0,0,0,0,1
fam7254,0,0,0,1,0,0,0,0,0,0
fam7255,0,0,2,0,0,0,0,0,0,0
fam7256,0,0,0,0,0,0,0,0,0,0
fam7258,0,1,0,0,0,1,0,0,0,0
fam7259,0,1,0,0,0,0,0,0,0,0
fam7262,0,0,1,0,0,0,0,0,0,0
fam7263,0,0,0,0,0,0,0,1,0,0
fam7264,0,0,0,0,0,0,0,0,0,0
fam7265,0,0,0,0,0,0,0,0,0,0
fam7266,0,0,0,0,0,0,0,0,0,0
fam7267,0,0,0,0,0,0,0,0,0,0
fam7268,0,0,0,0,0,0,0,0,0,0
fam7269,0,0,0,0,0,0,0,0,0,0
fam7270,0,0,0,0,0,0,0,0,0,0
fam7271,0,0,0,0,0,0,0,0,0,0
fam7272,0,0,0,0,0,0,0,0,0,0
fam7273,0,0,0,0,0,0,0,0,0,0
fam7274,0,0,0,0,0,0,0,0,0,0
fam7275,0,0,0,0,0,0,0,0,0,0
fam7276,0,0,0,0,0,0,0,0,0,0
fam7277,0,0,0,0,0,0,0,0,0,0
fam7278,0,0,0,0,0,0,0,0,0,0
fam7279,0,0,0,0,0,7,0,0,0,0
fam7280,0,0,0,0,0,7,0,0,0,0
fam7294,0,0,0,0,0,0,0,0,0,0
fam7295,0,0,0,0,0,0,0,0,0,0
fam7296,0,0,0,0,0,0,0,0,0,0
fam7297,0,0,0,0,0,0,0,0,0,0
fam7298,0,0,0,0,0,0,0,0,0,0
fam7299,0,0,0,0,0,0,0,0,0,0
fam7300,0,0,0,0,0,0,0,0,0,0
fam7301,0,0,0,0,0,0,0,0,0,0
fam7302,0,0,0,0,0,0,0,0,0,0
fam7303,0,0,0,0,0,0,0,0,0,0
fam7304,0,0,0,0,0,0,0,0,0,0
fam7305,0,0,0,0,0,0,0,0,0,0
fam7306,0,0,0,0,0,0,0,0,0,0
fam7307,0,0,0,0,0,0,0,0,0,0
fam7308,0,0,0,0,0,0,0,0,0,0
fam7309,0,0,0,0,0,0,0,0,0,0
fam7310,0,0,0,0,0,0,0,0,0,0
fam7311,0,0,0,0,0,0,0,0,0,0
fam7312,0,0,0,0,0,0,0,0,0,0
fam7313,0,0,0,0,0,0,0,0,0,0
fam7314,0,0,0,0,0,0,0,0,0,0
fam7315,0,0,0,0,0,0,0,0,0,0
fam7316,0,0,0,0,0,0,0,0,0,0
fam7317,0,0,0,0,0,0,0,0,0,0
fam7318,0,0,0,0,0,0,0,0,0,0
fam7319,0,0,0,0,0,0,0,0,0,0
fam7320,0,0,0,0,0,0,0,0,0,0
fam7321,0,0,0,0,0,0,0,0,0,0
fam7322,0,0,0,0,0,0,0,0,0,0
fam7323,0,0,0,0,0,0,0,0,0,0
fam7324,0,0,0,0,0,0,0,0,0,0
fam7325,0,0,0,0,0,0,0,0,0,0
fam7326,0,0,0,0,0,0,0,0,0,0
fam7327,0,0,0,0,0,0,0,0,0,0
fam7328,0,0,0,0,0,0,0,0,0,0
fam7329,0,0,0,0,0,0,0,0,0,0
fam7330,0,0,0,0,0,0,0,0,0,0
fam7331,0,0,0,0,0,0,0,0,0,0
fam7332,0,0,0,0,0,0,0,0,0,0
fam7333,0,0,0,0,0,0,0,0,0,0
fam7334,0,0,0,0,0,0,0,0,0,0
fam7335,0,0,0,0,0,0,0,0,0,0
fam7336,0,0,0,0,0,0,0,0,0,0
fam7337,0,0,0,0,0,0,0,0,0,0
fam7338,0,0,0,0,0,0,0,0,0,0
fam7339,0,0,0,0,0,0,0,0,0,0
fam7340,0,0,0,0,0,0,0,0,0,0
fam7341,0,0,0,0,0,0,0,0,0,0
fam7342,0,0,0,0,0,0,0,0,0,0
fam7343,0,0,0,0,0,0,0,0,0,0
fam7344,0,0,0,0,0,0,0,0,0,0
fam7345,0,0,0,0,0,0,0,0,0,0
fam7346,0,0,0,0,0,0,0,0,0,0
fam7347,0,0,0,0,0,0,0,0,0,0
fam7348,0,0,0,0,0,0,0,0,0,0
fam7349,0,0,0,0,0,0,0,0,0,0
fam7350,0,0,0,0,0,0,0,0,0,0
fam7351,0,0,0,0,0,0,0,0,0,0
fam7352,0,0,0,0,0,0,0,0,0,0
fam7353,0,0,0,0,0,0,0,0,0,0
fam7354,0,0,0,0,0,0,0,0,0,0
fam7355,0,0,0,0,0,0,0,0,0,0
fam7356,0,0,0,0,0,0,0,0,0,0
fam7357,0,0,0,0,0,0,0,0,0,0
fam7358,0,0,0,0,0,0,0,0,0,0
fam7359,0,0,0,0,0,0,0,0,0,0
fam7360,0,0,0,0,0,0,0,0,0,0
fam7361,0,0,0,0,0,0,0,0,0,0
fam7362,0,0,0,0,0,0,0,0,0,0
fam7363,0,0,0,0,0,0,0,0,0,0
fam7364,0,0,0,0,0,0,0,0,0,0
fam7365,0,0,0,0,0,0,0,0,0,0
fam7366,0,0,0,0,0,0,0,0,0,0
fam7367,0,0,0,0,0,0,0,0,0,0
fam7368,0,0,0,0,0,0,0,0,0,0
fam7369,0,0,0,0,0,0,0,0,0,0
fam7370,0,0,0,0,0,0,0,0,0,0
fam7371,0,0,0,0,0,0,0,0,0,0
fam7372,0,0,0,0,0,0,0,0,0,0
fam7373,0,0,0,0,0,0,0,0,0,0
fam7374,0,0,0,0,0,0,0,0,0,0
fam7375,0,0,0,0,0,0,0,0,0,0
fam7376,0,0,0,0,0,0,0,0,0,0
fam7377,0,0,0,0,0,0,0,0,0,0
fam7378,0,0,0,0,0,0,0,0,0,0
fam7379,0,0,0,0,0,0,0,0,0,0
fam7380,0,0,0,0,0,0,0,0,0,0
fam7381,0,0,0,0,0,0,0,0,0,0
fam7382,0,0,0,0,0,0,0,0,0,0
fam7383,0,0,0,0,0,0,0,0,0,0
fam7384,0,0,0,0,0,0,0,0,0,0
fam7385,0,0,0,0,0,0,0,0,0,0
fam7386,0,0,0,0,0,0,0,0,0,0
fam7387,0,0,0,0,0,0,0,0,0,0
fam7388,0,0,0,0,0,0,0,0,0,0
fam7389,0,0,0,0,0,0,0,0,0,0
fam7390,0,0,0,0,0,0,0,0,0,0
fam7391,0,0,0,0,0,0,0,0,0,0
fam7392,0,0,0,0,0,0,0,0,0,0
fam7393,0,0,0,0,0,0,0,0,0,0
fam7394,0,0,0,0,0,0,1,0,0,0
fam7395,0,0,0,0,0,0,0,0,0,0
fam7396,0,0,0,0,0,0,0,0,0,0
fam7397,0,0,0,0,0,0,0,0,0,0
fam7398,0,0,0,0,0,0,0,0,0,0
fam7399,0,0,0,0,0,0,0,0,0,0
fam7400,0,0,0,0,0,0,0,0,0,0
fam7401,0,0,0,0,0,0,0,0,0,0
fam7402,0,0,0,0,0,0,0,0,0,0
